Ensembl_Gene_ID,ms_restriction,ms_healthy_somatic_tissues,ms_pmids
ENSG00000151962,RECURRENT_HEALTHY,adrenal gland;kidney;lung;skin;thyroid,25576301;27841757;28832583;29242379;29393594;29557506;31154438;31217245;31530632;31844290;31848261;33858848;34561969;35051231;35318648;35580925;38740147
ENSG00000179046,CANCER_ONLY,,28228285;29557506;31222486;34087483
ENSG00000176566,CANCER_ONLY,,26992070;27543614;28832583;29242379;29557506;30315122;31844290;32357974;33912179
ENSG00000198033,RECURRENT_HEALTHY,adrenal gland;aorta;bladder;blood;bone marrow;brain;breast;central nervous system (cns);cerebellum;colon;esophagus;heart;kidney;liver;lung;lymph node;muscle;pancreas;skin;small intestine;spleen;thyroid;tongue;trachea,20112406;22869377;23481700;25418920;25645385;25802875;25810538;25880248;26024233;26154972;26375851;26783342;26811146;26824387;26929215;26992070;27397612;27600516;27862975;27920218;28063628;28188227;28218747;28228285;28514659;28649982;28832583;28834231;28855257;28904123;29242379;29371260;29393594;29437277;29493099;29508533;29557506;29632046;29632711;29786170;29789417;30315122;30410026;30429286;30484775;30524438;30779550;30833945;31154438;31217245;31222486;31495665;31530632;31844290;31848261;31998317;32157095;32161166;32265295;32357974;32387766;32488085;32897882;32938616;32983136;33123756;33141586;33298915;33592498;33633747;33691108;33717175;33858848;33912179;33936100;33968037;33981976;34087483;34171305;34185709;34211107;34509645;34561969;34932366;35051231;35318648;35526384;35561310;35580925;36010968;36215666;36241641;36284347;36581221;37938771;38480730;40113210
ENSG00000174015,CANCER_ONLY,,25576301;31848261;33968037
ENSG00000172717,CANCER_ONLY,,35051231;35580925
ENSG00000126856,CANCER_ONLY,,29557506;29789417;34087483;35051231
ENSG00000183206,CANCER_ONLY,,32387766;32938616;35051231;38740147
ENSG00000268696,RECURRENT_HEALTHY,blood;colon;small intestine;spleen;thyroid,25418920;25548167;25645385;26375851;26992070;27846572;28188227;28832583;28834231;29557506;29786170;30429286;30779550;31154438;31844290;31848261;32157095;32357974;32897882;33537174;33691108;33858848;33968037;34185709;35561310;35580925;36010968;38480730
ENSG00000169059,CANCER_ONLY,,32938616
