Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_99_pct_filter,filtered,rna_max_ntpm,never_expressed,rna_testis_ntpm,rna_ovary_ntpm,rna_placenta_ntpm,rna_max_somatic_tissue,rna_max_somatic_ntpm,rna_somatic_detected_count,rna_brain_max_ntpm,rna_heart_max_ntpm,rna_lung_max_ntpm,rna_liver_max_ntpm,rna_pancreas_max_ntpm,protein_restriction,protein_testis,protein_ovary,protein_placenta,rna_restriction,rna_restriction_level,ms_restriction,restriction,restriction_confidence,safety_flags
GAGE12F,,,cancer-testis antigen,ENSG00000236362,CTexploreR_CTP;daSilva2017;daSilva2017_protein,True,False,Supported,False,False,testis,0.9121,0.9121,0.9281,0.9281,ENST00000639028,protein_coding,True,True,False,False,True,103.3,False,178.7,0.0,0.0,stomach,10.7,2,2.0,0.0,0.0,0.1,0.0,TESTIS,True,False,False,SOMATIC,PERMISSIVE,NO_MS_DATA,TESTIS,LOW,
TKTL1,,,cancer-testis antigen,ENSG00000007350,CTexploreR_CTP;daSilva2017;daSilva2017_protein,True,False,Enhanced,False,False,testis,0.8927,0.893,0.9703,0.9703,ENST00000369915,protein_coding,True,True,True,False,True,123.4,False,127.1,0.1,0.3,cerebral cortex,4.3,5,4.3,3.8,1.0,0.2,0.0,TESTIS,True,False,False,SOMATIC,MODERATE,NO_MS_DATA,TESTIS,LOW,
ANKRD60,,,cancer-testis antigen,ENSG00000124227,daSilva2017_protein,no data,no data,no data,True,False,no data,0.8537,0.8537,1.0,1.0,ENST00000457363,protein_coding,True,True,True,True,True,3.5,False,3.6,0.0,0.0,medulla oblongata,0.9,0,0.9,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,NO_MS_DATA,TESTIS,HIGH,
AXDND1,,,cancer-testis antigen,ENSG00000162779,daSilva2017_protein;CTexploreR_CTP,False,False,Enhanced,True,False,bronchus; fallopian tube; nasopharynx; testis,0.85,0.85,1.0,1.0,ENST00000617277,protein_coding,True,True,True,True,False,15.3,False,15.7,0.0,0.0,midbrain,0.4,0,0.4,0.0,0.0,0.0,0.1,SOMATIC,True,False,False,TESTIS,STRICT,NO_MS_DATA,SOMATIC,LOW,
TLCD3A,C17orf104,,cancer-testis antigen,ENSG00000167695,daSilva2017_protein,no data,no data,no data,False,True,no data,0.0618,0.0713,0.0642,0.0725,ENST00000308278,protein_coding,False,False,False,False,False,69.7,False,12.1,7.4,8.2,skin,71.7,42,9.7,4.9,7.1,3.7,9.7,NO_DATA,,,,SOMATIC,LEAKY,NO_MS_DATA,SOMATIC,MODERATE,brain;lung;pancreas
C9orf131,,,cancer-testis antigen,ENSG00000174038,daSilva2017_protein,no data,no data,no data,False,False,no data,0.59,0.5907,0.8657,0.8657,ENST00000354479,protein_coding,True,False,False,False,False,34.8,False,35.8,0.2,0.5,cerebellum,6.3,11,6.3,0.4,0.2,0.7,0.2,NO_DATA,,,,SOMATIC,PERMISSIVE,NO_MS_DATA,SOMATIC,MODERATE,brain
KASH5,CCDC155,,cancer-testis antigen,ENSG00000161609,daSilva2017_protein,False,False,Enhanced,False,False,adrenal gland; appendix; bone marrow; breast; bronchus; caudate; cerebellum; cerebral cortex; cervix; colon; duodenum; endometrium 1; endometrium 2; epididymis; esophagus; fallopian tube; gallbladder; heart muscle; hippocampus; kidney; liver; lung; lymph node; nasopharynx; ovary; pancreas; parathyroid gland; placenta; prostate; rectum; salivary gland; seminal vesicle; skeletal muscle; skin 1; skin 2; small intestine; smooth muscle; stomach 1; stomach 2; testis; thyroid gland; tonsil; urinary bladder,0.7124,0.7124,0.7507,0.7507,ENST00000447857,protein_coding,False,False,False,False,False,53.0,False,54.5,0.0,0.0,retina,7.4,3,7.4,0.0,0.1,0.0,1.9,SOMATIC,True,True,True,SOMATIC,LEAKY,NO_MS_DATA,SOMATIC,HIGH,brain
CCDC168,,,cancer-testis antigen,ENSG00000175820,daSilva2017_protein,no data,no data,no data,True,False,no data,0.9773,0.9773,1.0,1.0,ENST00000322527,protein_coding,True,True,True,True,True,8.6,False,8.8,0.0,0.0,cerebral cortex,0.5,0,0.5,0.1,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,NO_MS_DATA,TESTIS,HIGH,
CCDC63,,,cancer-testis antigen,ENSG00000173093,daSilva2017_protein,no data,no data,no data,False,False,no data,0.8,0.8,0.8889,0.8889,ENST00000545036,protein_coding,True,False,False,False,False,16.8,False,17.3,0.0,0.0,skeletal muscle,2.7,2,0.0,1.5,0.0,0.0,0.0,NO_DATA,,,,SOMATIC,PERMISSIVE,NO_MS_DATA,SOMATIC,MODERATE,
CDRT15,,,cancer-testis antigen,ENSG00000223510,daSilva2017_protein;CTexploreR_CT,no data,no data,no data,False,False,no data,0.5526,0.5526,0.8354,0.8354,ENST00000420162,protein_coding,True,False,False,False,False,20.3,False,20.9,0.4,0.1,skin,3.3,4,1.4,0.3,0.3,0.4,0.2,NO_DATA,,,,SOMATIC,PERMISSIVE,NO_MS_DATA,SOMATIC,MODERATE,
