gene_id,symbol,cancer,cancer_type,cohort,samples,mean_ptpm,max_ptpm,expressed_samples_ptpm_ge_0_1,prevalence_ptpm_ge_0_1,expressed_samples_ptpm_ge_1,prevalence_ptpm_ge_1,expressed_samples_ptpm_ge_2,prevalence_ptpm_ge_2,expressed_samples_ptpm_ge_5,prevalence_ptpm_ge_5
ENSG00000064199,SPA17,Bladder Urothelial Carcinoma (TCGA),Bladder Urothelial Carcinoma,TCGA,169,1.9731869822485208,8.9167,138,0.8165680473372781,122,0.7218934911242604,77,0.4556213017751479,10,0.059171597633136
ENSG00000064199,SPA17,Breast Invasive Carcinoma (TCGA),Breast Invasive Carcinoma,TCGA,1022,4.9040288649706465,20.8073,1022,1.0,974,0.9530332681017613,830,0.812133072407045,386,0.3776908023483366
ENSG00000064199,SPA17,Breast Invasive Carcinoma (validation),Breast Invasive Carcinoma,validation,50,42.30208600000001,110.118,50,1.0,50,1.0,50,1.0,50,1.0
ENSG00000064199,SPA17,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,TCGA,283,2.333727208480566,27.152,244,0.8621908127208481,201,0.7102473498233216,120,0.4240282685512367,26,0.0918727915194346
ENSG00000064199,SPA17,Colon Adenocarcinoma (TCGA),Colon Adenocarcinoma,TCGA,254,2.8305125984251975,8.9316,254,1.0,253,0.9960629921259844,187,0.7362204724409449,10,0.0393700787401574
ENSG00000064199,SPA17,Colon Adenocarcinoma (validation),Colon Adenocarcinoma,validation,486,4.188684567901234,10.7479,486,1.0,485,0.9979423868312756,468,0.9629629629629628,129,0.2654320987654321
ENSG00000064199,SPA17,Glioblastoma Multiforme (TCGA),Glioblastoma Multiforme,TCGA,141,6.807451063829786,39.4409,141,1.0,138,0.9787234042553192,134,0.950354609929078,82,0.5815602836879432
ENSG00000064199,SPA17,Glioblastoma Multiforme (validation),Glioblastoma Multiforme,validation,58,13.848644827586217,49.0041,58,1.0,57,0.9827586206896552,57,0.9827586206896552,53,0.913793103448276
ENSG00000064199,SPA17,Head and Neck Squamous Cell Carcinoma (TCGA),Head and Neck Squamous Cell Carcinoma,TCGA,492,1.735776016260162,9.8603,492,1.0,388,0.7886178861788617,133,0.2703252032520325,4,0.008130081300813
ENSG00000064199,SPA17,Kidney Chromophobe (TCGA),Kidney Chromophobe,TCGA,64,0.7630046875000003,5.8127,49,0.765625,18,0.28125,5,0.078125,1,0.015625
ENSG00000064199,SPA17,Kidney Renal Clear Cell Carcinoma (TCGA),Kidney Renal Clear Cell Carcinoma,TCGA,521,3.3715667946257195,10.3291,521,1.0,506,0.9712092130518234,432,0.8291746641074856,68,0.1305182341650671
ENSG00000064199,SPA17,Kidney Renal Clear Cell Carcinoma (validation),Kidney Renal Clear Cell Carcinoma,validation,100,3.466806000000001,9.6347,100,1.0,98,0.98,82,0.82,14,0.14
ENSG00000064199,SPA17,Kidney Renal Papillary Cell Carcinoma (TCGA),Kidney Renal Papillary Cell Carcinoma,TCGA,282,4.609730141843975,38.8012,272,0.9645390070921984,267,0.946808510638298,247,0.875886524822695,107,0.3794326241134751
ENSG00000064199,SPA17,Liver Hepatocellular Carcinoma (TCGA),Liver Hepatocellular Carcinoma,TCGA,362,0.916148066298342,9.5376,356,0.9834254143646408,103,0.2845303867403315,34,0.0939226519337016,4,0.011049723756906
ENSG00000064199,SPA17,Liver Hepatocellular Carcinoma (validation),Liver Hepatocellular Carcinoma,validation,231,5.774566666666669,59.5944,231,1.0,218,0.9437229437229436,189,0.8181818181818182,93,0.4025974025974026
ENSG00000064199,SPA17,Lung Adenocarcinoma (TCGA),Lung Adenocarcinoma,TCGA,497,3.813263782696176,26.9534,497,1.0,479,0.9637826961770624,389,0.7826961770623743,100,0.2012072434607646
ENSG00000064199,SPA17,Lung Adenocarcinoma (validation),Lung Adenocarcinoma,validation,105,5.828190476190476,27.8389,105,1.0,105,1.0,97,0.923809523809524,54,0.5142857142857142
ENSG00000064199,SPA17,Lung Squamous Cell Carcinoma (TCGA),Lung Squamous Cell Carcinoma,TCGA,489,2.410624130879346,16.231,489,1.0,428,0.8752556237218814,252,0.5153374233128835,28,0.0572597137014314
ENSG00000064199,SPA17,Lung Squamous Cell Carcinoma (validation),Lung Squamous Cell Carcinoma,validation,68,3.389320588235295,8.9586,68,1.0,67,0.9852941176470588,55,0.8088235294117647,6,0.088235294117647
ENSG00000064199,SPA17,Ovary Serous Cystadenocarcinoma (TCGA),Ovary Serous Cystadenocarcinoma,TCGA,349,4.756045272206304,29.0665,349,1.0,338,0.968481375358166,297,0.8510028653295129,122,0.3495702005730659
ENSG00000064199,SPA17,Ovary Serous Cystadenocarcinoma (validation),Ovary Serous Cystadenocarcinoma,validation,81,14.316959259259251,70.2655,81,1.0,81,1.0,81,1.0,72,0.8888888888888888
ENSG00000064199,SPA17,Pancreatic Adenocarcinoma (TCGA),Pancreatic Adenocarcinoma,TCGA,176,2.9938374999999984,12.061,176,1.0,172,0.9772727272727272,129,0.7329545454545454,13,0.0738636363636363
ENSG00000064199,SPA17,Pancreatic Adenocarcinoma (validation),Pancreatic Adenocarcinoma,validation,80,9.434561250000002,16.0384,80,1.0,80,1.0,80,1.0,75,0.9375
ENSG00000064199,SPA17,Prostate Adenocarcinoma (TCGA),Prostate Adenocarcinoma,TCGA,480,3.024035624999997,13.2258,480,1.0,461,0.9604166666666668,363,0.75625,50,0.1041666666666666
ENSG00000064199,SPA17,Rectum Adenocarcinoma (TCGA),Rectum Adenocarcinoma,TCGA,88,2.67825340909091,6.7247,88,1.0,87,0.9886363636363636,58,0.6590909090909091,3,0.034090909090909
ENSG00000064199,SPA17,Rectum Adenocarcinoma (validation),Rectum Adenocarcinoma,validation,207,3.754064734299516,23.7711,207,1.0,206,0.9951690821256038,186,0.8985507246376812,31,0.1497584541062802
ENSG00000064199,SPA17,Skin Cuteneous Melanoma (TCGA),Skin Cuteneous Melanoma,TCGA,99,1.1621717171717172,4.6103,82,0.8282828282828283,53,0.5353535353535354,14,0.1414141414141414,0,0.0
ENSG00000064199,SPA17,Stomach Adenocarcinoma (TCGA),Stomach Adenocarcinoma,TCGA,346,3.500010693641618,13.862,346,1.0,339,0.9797687861271676,287,0.8294797687861272,53,0.1531791907514451
ENSG00000064199,SPA17,Testicular Germ Cell Tumor (TCGA),Testicular Germ Cell Tumor,TCGA,133,2.150476691729323,14.814,116,0.8721804511278195,86,0.6466165413533834,48,0.3609022556390977,9,0.0676691729323308
ENSG00000064199,SPA17,Thyroid Carcinoma (TCGA),Thyroid Carcinoma,TCGA,495,5.67137171717172,21.8136,495,1.0,494,0.997979797979798,479,0.9676767676767676,286,0.5777777777777777
ENSG00000064199,SPA17,Uterine Corpus Endometrial Carcinoma (TCGA),Uterine Corpus Endometrial Carcinoma,TCGA,176,6.383275000000001,82.2118,147,0.8352272727272727,143,0.8125,127,0.7215909090909091,79,0.4488636363636363
ENSG00000068985,PAGE1,Bladder Urothelial Carcinoma (TCGA),Bladder Urothelial Carcinoma,TCGA,169,1.318855621301775,201.133,19,0.1124260355029585,5,0.029585798816568,4,0.0236686390532544,3,0.0177514792899408
ENSG00000068985,PAGE1,Breast Invasive Carcinoma (TCGA),Breast Invasive Carcinoma,TCGA,1022,1.357493542074364,559.984,56,0.0547945205479452,11,0.0107632093933463,9,0.0088062622309197,7,0.0068493150684931
ENSG00000068985,PAGE1,Breast Invasive Carcinoma (validation),Breast Invasive Carcinoma,validation,50,0.061124,0.9758,4,0.08,0,0.0,0,0.0,0,0.0
ENSG00000068985,PAGE1,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,TCGA,283,0.3612996466431095,35.7894,18,0.0636042402826855,9,0.0318021201413427,9,0.0318021201413427,6,0.0212014134275618
ENSG00000068985,PAGE1,Colon Adenocarcinoma (TCGA),Colon Adenocarcinoma,TCGA,254,0.659287401574803,87.5611,26,0.1023622047244094,11,0.0433070866141732,8,0.0314960629921259,4,0.0157480314960629
ENSG00000068985,PAGE1,Colon Adenocarcinoma (validation),Colon Adenocarcinoma,validation,486,0.0502146090534979,6.5454,25,0.051440329218107,5,0.0102880658436214,3,0.0061728395061728,1,0.0020576131687242
