Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_99_pct_filter,filtered,rna_max_ntpm,never_expressed
POTEG,,,cancer-testis antigen,ENSG00000187537,daSilva2017_protein,no data,no data,no data,False,False,no data,0.4211,0.4211,0.9091,0.9091,ENST00000547848,protein_coding,True,True,False,False,False,1.1,True
PRH1,,,cancer-testis antigen,ENSG00000231887,daSilva2017_protein,no data,no data,no data,False,False,no data,0.177,0.1773,0.1903,0.1903,ENST00000538332,protein_coding,False,False,False,False,False,229.6,False
RBMXL2,,,cancer-testis antigen,ENSG00000170748,daSilva2017_protein,True,False,Enhanced,True,False,testis,0.9887,0.9887,1.0,1.0,ENST00000306904,protein_coding,True,True,True,True,True,34.9,False
RBMY1D,,,cancer-testis antigen,ENSG00000244395,daSilva2017_protein,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000382680,protein_coding,True,True,True,True,True,1.3,False
RBMY1F,,,cancer-testis antigen,ENSG00000169800,daSilva2017_protein,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000454978,protein_coding,True,True,True,True,True,3.1,False
RGPD4,,,cancer-testis antigen,ENSG00000196862,daSilva2017_protein,no data,no data,no data,False,False,no data,0.3814,0.4,1.0,1.0,ENST00000408999,protein_coding,True,True,True,True,True,3.6,False
RPL10L,,,cancer-testis antigen,ENSG00000165496,daSilva2017_protein;CTexploreR_CTP,no data,no data,no data,False,False,no data,0.9361,0.9361,0.9675,0.9675,ENST00000298283,protein_coding,True,True,True,False,False,89.4,False
SIX6,,,cancer-testis antigen,ENSG00000184302,daSilva2017_protein,False,False,Approved,False,False,pituitary gland; retina,0.0027,0.0027,0.0284,0.0284,ENST00000327720,protein_coding,False,False,False,False,False,27.7,False
SKA3,,,cancer-testis antigen,ENSG00000165480,daSilva2017_protein,False,False,Approved,False,True,epididymis; testis,0.201,0.3769,0.2939,0.5208,ENST00000314759,protein_coding,False,False,False,False,False,11.8,False
SLC25A52,,,cancer-testis antigen,ENSG00000141437,daSilva2017_protein,no data,no data,no data,True,False,no data,0.8145,0.8145,1.0,1.0,ENST00000269205,protein_coding,True,True,True,True,True,10.1,False
SPA17,,,cancer-testis antigen,ENSG00000064199,daSilva2017_protein,False,False,Enhanced,False,True,bronchus; endometrium 1; endometrium 2; epididymis; fallopian tube; kidney; nasopharynx; testis,0.4689,0.4717,0.5152,0.5169,ENST00000532692,protein_coding,False,False,False,False,False,224.8,False
SPATA33,,,cancer-testis antigen,ENSG00000167523,daSilva2017_protein,False,False,Enhanced,False,True,appendix; breast; bronchus; colon; duodenum; epididymis; fallopian tube; kidney; nasopharynx; rectum; small intestine; stomach 1; testis,0.3123,0.3186,0.3527,0.3575,ENST00000301031,protein_coding,False,False,False,False,False,110.8,False
STK31,,,cancer-testis antigen,ENSG00000196335,daSilva2017_protein;CTexploreR_CTP,False,False,Enhanced,False,False,ovary; stomach 1; testis,0.865,0.8652,0.9936,0.9936,ENST00000355870,protein_coding,True,True,True,True,False,62.2,False
STKLD1,,,cancer-testis antigen,ENSG00000198870,daSilva2017_protein,no data,no data,no data,True,False,no data,0.5405,0.5405,1.0,1.0,ENST00000371957,protein_coding,True,True,True,True,True,9.7,False
SYCE1L,,,cancer-testis antigen,ENSG00000205078,daSilva2017_protein,no data,no data,no data,False,False,no data,0.2309,0.2334,0.3337,0.3337,ENST00000378644,protein_coding,False,False,False,False,False,22.8,False
TAF1L,,,cancer-testis antigen,ENSG00000122728,daSilva2017_protein,no data,no data,no data,False,False,no data,0.5,0.5,0.7273,0.7273,ENST00000242310,protein_coding,False,False,False,False,False,1.6,True
TDRD12,,,cancer-testis antigen,ENSG00000173809,daSilva2017_protein;CTexploreR_CTP,no data,no data,no data,False,False,no data,0.5627,0.566,0.8634,0.8634,ENST00000639142,protein_coding,True,False,False,False,False,13.9,False
TMCO5A,,,cancer-testis antigen,ENSG00000166069,daSilva2017_protein,True,False,Enhanced,True,False,testis,0.9843,0.9843,1.0,1.0,ENST00000559502,protein_coding,True,True,True,True,True,106.5,False
TTK,,,cancer-testis antigen,ENSG00000112742,daSilva2017_protein,False,False,Enhanced,False,True,appendix; bone marrow; breast; bronchus; caudate; cerebral cortex; cervix; colon; duodenum; endometrium 1; endometrium 2; epididymis; esophagus; fallopian tube; gallbladder; hippocampus; kidney; lung; lymph node; oral mucosa; ovary; pancreas; parathyroid gland; placenta; prostate; rectum; salivary gland; seminal vesicle; skeletal muscle; skin 1; skin 2; small intestine; soft tissue 1; spleen; stomach 1; stomach 2; testis; thyroid gland; tonsil; urinary bladder; vagina,0.2901,0.4711,0.3496,0.5437,ENST00000509894,protein_coding,False,False,False,False,False,45.4,False
TUBA3E,,,cancer-testis antigen,ENSG00000152086,daSilva2017_protein;CTexploreR_CTP,no data,no data,no data,False,False,no data,0.7356,0.7356,0.7547,0.7547,ENST00000312988,protein_coding,False,False,False,False,False,170.4,False
WFDC11,,,cancer-testis antigen,ENSG00000180083,daSilva2017_protein,no data,no data,no data,False,False,no data,0.0477,0.0477,0.0495,0.0495,ENST00000356562,protein_coding,False,False,False,False,False,91.7,False
YBX2,,,cancer-testis antigen,ENSG00000006047,daSilva2017_protein,True,False,Enhanced,False,False,testis,0.913,0.913,0.958,0.958,ENST00000007699,protein_coding,True,True,True,False,True,535.8,False
ZC2HC1B,,,cancer-testis antigen,ENSG00000118491,daSilva2017_protein,no data,no data,no data,True,False,no data,0.9416,0.9416,1.0,1.0,ENST00000237275,protein_coding,True,True,True,True,True,14.4,False
ZNF560,,,cancer-testis antigen,ENSG00000198028,daSilva2017_protein;CTexploreR_CTP,no data,no data,no data,False,False,no data,0.7701,0.7701,0.8571,0.8571,ENST00000301480,protein_coding,True,False,False,False,False,6.0,False
